Kanalnummer	Impulse
Kanal/#	Impulse/#

1974	0
1975	0
1976	1
1977	1
1978	0
1979	0
1980	0
1981	0
1982	0
1983	0
1984	0
1985	0
1986	2
1987	0
1988	0
1989	0
1990	0
1991	0
1992	1
1993	2
1994	1
1995	0
1996	0
1997	0
1998	1
1999	0
2000	0
2001	0
2002	3
2003	0
2004	0
2005	1
2006	0
2007	2
2008	0
2009	0
2010	1
2011	0
2012	0
2013	0
2014	0
2015	1
2016	0
2017	0
2018	1
2019	0
2020	0
2021	0
2022	1
2023	0
2024	0
2025	1
2026	0
2027	0
2028	0
2029	0
2030	1
2031	1
2032	0
2033	1
2034	1
2035	0
2036	2
2037	0
2038	0
2039	0
2040	0
2041	0
2042	1
2043	0
2044	0
2045	1
2046	0
2047	1
2048	0
2049	1
2050	0
2051	1
2052	3
2053	1
2054	0
2055	0
2056	1
2057	0
2058	1
2059	1
2060	1
2061	0
2062	0
2063	0
2064	0
2065	0
2066	0
2067	1
2068	1
2069	1
2070	0
2071	0
2072	1
2073	0
2074	0
2075	1
2076	1
2077	0
2078	0
2079	0
2080	0
2081	0
2082	1
2083	0
2084	0
2085	0
2086	1
2087	0
2088	0
2089	1
2090	0
2091	0
2092	1
2093	0
2094	0
2095	1
2096	0
2097	0
2098	0
2099	0
2100	0
2101	0
2102	1
2103	0
2104	0
2105	0
2106	0
2107	0
2108	0
2109	1
2110	0
2111	0
2112	0
2113	0
2114	0
2115	0
2116	1
2117	1
2118	0
2119	0
2120	0
2121	0
2122	1
2123	0
2124	0
2125	0
2126	0
2127	1
2128	0
2129	0
2130	0
2131	0
2132	1
2133	1
2134	0
2135	0
2136	1
2137	0
2138	0
2139	0
2140	0
2141	0
2142	0
2143	1
2144	0
2145	0
2146	0
2147	0
2148	0
2149	0
2150	0
2151	0
2152	0
2153	1
2154	1
2155	0
2156	1
2157	0
2158	0
2159	0
2160	0
2161	0
2162	0
2163	1
2164	0
2165	0
2166	0
2167	0
2168	0
2169	1
2170	0
2171	0
2172	1
2173	1
2174	0
2175	0
2176	0
2177	0
2178	0
2179	1
2180	0
2181	0
2182	1
2183	0
2184	0
2185	0
2186	0
2187	0
2188	0
2189	0
2190	0
2191	1
2192	0
2193	1
2194	0
2195	0
2196	0
2197	0
2198	0
2199	0
2200	0
2201	0
2202	0
2203	0
2204	1
2205	0
2206	0
2207	0
2208	0
2209	0
2210	0
2211	0
2212	1
2213	0
2214	1
2215	0
2216	0
2217	2
2218	0
2219	0
2220	0
2221	0
2222	0
2223	0
2224	0
2225	0
2226	0
2227	0
2228	0
2229	0
2230	0
2231	0
2232	1
2233	0
2234	0
2235	0
2236	0
2237	1
2238	0
2239	0
2240	1
2241	0
2242	0
2243	0
2244	0
2245	1
2246	0
2247	0
2248	0
2249	0
2250	0
2251	0
2252	0
2253	0
2254	0
2255	0
2256	0
2257	0
2258	0
2259	0
2260	0
2261	1
2262	0
2263	1
2264	1
2265	0
2266	0
2267	0
2268	0
2269	0
2270	0
2271	0
2272	0
2273	1
2274	2
2275	0
2276	0
2277	0
2278	1
2279	1
2280	0
2281	0
2282	1
2283	0
2284	0
2285	0
2286	0
2287	0
2288	0
2289	0
2290	0
2291	0
2292	1
2293	0
2294	0
2295	0
2296	0
2297	0
2298	0
2299	0
2300	1
2301	1
2302	0
2303	0
2304	0
2305	0
2306	0
2307	0
2308	1
2309	0
2310	0
2311	0
2312	0
2313	0
2314	0
2315	0
2316	0
2317	0
2318	0
2319	0
2320	0
2321	0
2322	0
2323	0
2324	0
2325	1
2326	0
2327	0
2328	2
2329	0
2330	0
2331	0
2332	0
2333	0
2334	0
2335	0
2336	1
2337	0
2338	1
2339	0
2340	0
2341	0
2342	0
2343	1
2344	1
2345	0
2346	0
2347	0
2348	0
2349	0
2350	0
2351	0
2352	0
2353	0
2354	0
2355	0
2356	0
2357	0
2358	0
2359	0
2360	0
2361	0
2362	1
2363	0
2364	0
2365	0
2366	0
2367	1
2368	0
2369	0
2370	1
2371	0
2372	0
2373	0
2374	0
2375	0
2376	0
2377	0
2378	1
2379	0
2380	0
2381	1
2382	1
2383	0
2384	0
2385	0
2386	0
2387	0
2388	1
2389	1
2390	1
2391	0
2392	2
2393	0
2394	0
2395	0
2396	0
2397	0
2398	0
2399	0
2400	1
2401	1
2402	0
2403	0
2404	0
2405	0
2406	0
2407	0
2408	1
2409	0
2410	0
2411	2
2412	0
2413	0
2414	1
2415	0
2416	0
2417	0
2418	1
2419	0
2420	0
2421	0
2422	0
2423	1
2424	1
2425	0
2426	1
2427	0
2428	0
2429	0
2430	0
2431	0
2432	0
2433	0
2434	1
2435	0
2436	0
2437	0
2438	0
2439	0
2440	0
2441	0
2442	0
2443	1
2444	0
2445	0
2446	0
2447	1
2448	0
2449	1
2450	0
2451	0
2452	0
2453	0
2454	0
2455	1
2456	1
2457	0
2458	0
2459	0
2460	1
2461	0
2462	0
2463	1
2464	1
2465	1
2466	0
2467	0
2468	0
2469	0
2470	1
2471	1
2472	1
2473	1
2474	0
2475	0
2476	0
2477	0
2478	0
2479	0
2480	1
2481	0
2482	0
2483	0
2484	0
2485	0
2486	0
2487	1
2488	0
2489	0
2490	0
2491	0
2492	0
2493	0
2494	1
2495	1
2496	0
2497	2
2498	1
2499	1
2500	0
2501	0
2502	0
2503	0
2504	1
2505	0
2506	1
2507	0
2508	0
2509	1
2510	0
2511	0
2512	0
2513	0
2514	0
2515	0
2516	0
2517	0
2518	0
2519	0
2520	0
2521	0
2522	0
2523	0
2524	0
2525	0
2526	0
2527	0
2528	0
2529	0
2530	0
2531	0
2532	0
2533	0
2534	0
2535	0
2536	0
2537	0
2538	0
2539	0
2540	0
2541	1
2542	0
2543	2
2544	0
2545	0
2546	0
2547	0
2548	0
2549	0
2550	0
2551	0
2552	1
2553	1
2554	1
2555	0
2556	0
2557	0
2558	0
2559	2
2560	1
2561	0
2562	0
2563	0
2564	0
2565	0
2566	0
2567	0
2568	0
2569	0
2570	0
2571	1
2572	1
2573	0
2574	1
2575	0
2576	0
2577	0
2578	0
2579	0
2580	0
2581	0
2582	0
2583	0
2584	0
2585	2
2586	0
2587	1
2588	0
2589	0
2590	0
2591	2
2592	1
2593	0
2594	0
2595	1
2596	1
2597	0
2598	0
2599	0
2600	1
2601	0
2602	1
2603	0
2604	0
2605	0
2606	0
2607	0
2608	2
2609	0
2610	0
2611	0
2612	0
2613	0
2614	0
2615	1
2616	0
2617	0
2618	0
2619	0
2620	0
2621	0
2622	1
2623	0
2624	0
2625	0
2626	0
2627	0
2628	0
2629	0
2630	0
2631	0
2632	0
2633	1
2634	0
2635	0
2636	0
2637	0
2638	0
2639	1
2640	0
2641	0
2642	1
2643	0
2644	0
2645	2
2646	0
2647	0
2648	0
2649	0
2650	0
2651	0
2652	0
2653	1
2654	0
2655	0
2656	0
2657	0
2658	0
2659	0
2660	0
2661	0
2662	1
2663	0
2664	0
2665	0
2666	0
2667	0
2668	0
2669	0
2670	0
2671	0
2672	0
2673	0
2674	0
2675	0
2676	1
2677	0
2678	0
2679	0
2680	0
2681	0
2682	0
2683	0
2684	0
2685	0
2686	0
2687	0
2688	0
2689	0
2690	0
2691	0
2692	0
2693	0
2694	1
2695	0
2696	1
2697	0
2698	1
2699	0
2700	0
2701	1
2702	0
2703	0
2704	1
2705	0
2706	0
2707	1
2708	1
2709	0
2710	0
2711	0
2712	0
2713	0
2714	0
2715	1
2716	0
2717	0
2718	0
2719	1
2720	0
2721	0
2722	0
2723	0
2724	0
2725	0
2726	0
2727	0
2728	0
2729	0
2730	0
2731	0
2732	0
2733	0
2734	0
2735	0
2736	1
2737	0
2738	0
2739	1
2740	0
2741	0
2742	0
2743	0
2744	0
2745	0
2746	0
2747	0
2748	0
2749	0
2750	0
2751	0
2752	0
2753	0
2754	0
2755	0
2756	0
2757	0
2758	0
2759	0
2760	0
2761	0
2762	0
2763	0
2764	0
2765	1
2766	0
2767	0
2768	0
2769	0
2770	0
2771	0
2772	0
2773	0
2774	0
2775	0
2776	0
2777	0
2778	0
2779	0
2780	1
2781	0
2782	0
2783	0
2784	0
2785	0
2786	0
2787	0
2788	0
2789	0
2790	1
2791	1
2792	0
2793	0
2794	0
2795	0
2796	0
2797	0
2798	0
2799	0
2800	0
2801	0
2802	0
2803	0
2804	0
2805	0
2806	2
2807	0
2808	0
2809	0
2810	0
2811	0
2812	0
2813	0
2814	1
2815	0
2816	0
2817	0
2818	0
2819	0
2820	0
2821	1
2822	1
2823	1
2824	0
2825	1
2826	0
2827	0
2828	0
2829	0
2830	0
2831	0
2832	0
2833	0
2834	0
2835	0
2836	0
2837	1
2838	0
2839	0
2840	0
2841	0
2842	0
2843	0
2844	0
2845	1
2846	0
2847	0
2848	1
2849	0
2850	1
2851	0
2852	0
2853	0
2854	0
2855	0
2856	0
2857	0
2858	0
2859	0
2860	1
2861	0
2862	0
2863	0
2864	0
2865	0
2866	1
2867	0
2868	0
2869	1
2870	0
2871	0
2872	0
2873	0
2874	0
2875	0
2876	0
2877	1
2878	1
2879	0
2880	0
2881	0
2882	0
2883	0
2884	0
2885	0
2886	1
2887	0
2888	0
2889	0
2890	0
2891	0
2892	0
2893	0
2894	0
2895	0
2896	0
2897	1
2898	0
2899	0
2900	1
2901	0
2902	0
2903	0
2904	0
2905	0
2906	1
2907	0
2908	1
2909	0
2910	0
2911	1
2912	0
2913	0
2914	0
2915	0
2916	0
2917	1
2918	0
2919	0
2920	0
2921	0
2922	0
2923	0
2924	0
2925	0
2926	0
2927	0
2928	0
2929	0
2930	0
2931	0
2932	0
2933	0
2934	0
2935	1
2936	0
2937	0
2938	0
2939	0
2940	0
2941	1
2942	0
2943	0
2944	0
2945	0
2946	0
2947	0
2948	0
2949	0
2950	1
2951	0
2952	0
2953	0
2954	0
2955	1
2956	0
2957	0
2958	0
2959	0
2960	0
2961	0
2962	0
2963	0
2964	0
2965	0
2966	0
2967	0
2968	0
2969	0
2970	0
2971	0
2972	0
2973	0
2974	0
2975	1
2976	0
2977	0
2978	0
2979	0
2980	1
2981	0
2982	0
